date,time,platform,type,files,caption,status,result
2026-10-05,18:00,instagram,carousel,deungsim-01.jpg;deungsim-02.jpg;deungsim-03.jpg,"꽃등심은 등심 중에서도 가장 좋은 자리입니다. 근육 안쪽까지 지방이 고루 퍼져 풍미가 진합니다.\n\n· 국내산 1등급 꽃등심 300g\n· 구이용 0.5~1cm 두께로 손질\n· 냉장 그대로, 얼리지 않습니다\n\n300g이면 두 분이 한 상 차리실 양입니다.\n\n24,900원 · 배송비 4,000원\n구매는 프로필 링크에서.\n\n#제철이가득한한상 #꽃등심 #소고기 #국내산소고기 #소고기구이 #스테이크 #홈파티 #정육 #집밥",,
2026-10-08,12:00,threads,carousel,shrimp1kg-01.jpg;shrimp1kg-02.jpg;shrimp1kg-03.jpg;shrimp1kg-04.jpg;shrimp1kg-05.jpg,"수조에서 살아있던 것만 담는다.\n죽은 새우는 아예 포장 안 한다.\n\n남해안 노지 사육장 활 흰다리새우 1kg, 35미 내외.\n껍질 벗겨서 씹으면 톡톡 터진다.\n\n미리 적는다. 운송 중에 물을 뱉어서\n실중량은 800~850g 나온다. 활새우가 원래 그렇다.\n\n22,200원 · 배송비 4,000원.\n\nhttps://smartstore.naver.com/nice__food/products/13752043476",,
2026-10-08,18:00,instagram,carousel,shrimp1kg-01.jpg;shrimp1kg-02.jpg;shrimp1kg-03.jpg,"수조에서 살아있던 새우만 담습니다. 죽은 새우는 포장하지 않습니다.\n\n· 남해안 노지 사육장 활 흰다리새우 1kg · 35미 내외\n· 회로 드실 수 있는 등급\n· 실중량 800~850g (운송 중 자연감량 10~15%)\n\n감량은 활새우 특성이라 미리 적어둡니다.\n\n22,200원 · 배송비 4,000원\n구매는 프로필 링크에서.\n\n#제철이가득한한상 #흰다리새우 #활새우 #새우회 #소금구이 #남해안 #수산물 #산지직송 #신선식품",,
2026-10-12,12:00,threads,carousel,special-01.jpg;special-02.jpg;special-03.jpg;special-04.jpg;special-05.jpg,"특수부위 시켰는데 한 부위만 잔뜩 왔던 적 있으면.\n\n토시살 제비추리 업진살 안창살 치마살 갈비살.\n여섯 중에 그날 상태 좋은 네 부위를 150g씩 담는다.\n\n부위는 못 고른다.\n소 한 마리에서 여섯 다 합쳐도 15kg이 안 나온다.\n\n600g, 3~4인분. 59,900원 · 배송비 4,000원.\n\nhttps://smartstore.naver.com/nice__food/products/13769188354",,
2026-10-12,18:00,instagram,carousel,special-01.jpg;special-02.jpg;special-03.jpg,"특수부위 시켰는데 한 부위만 잔뜩 오셨던 적 있으시죠.\n\n· 토시살 · 제비추리 · 업진살 · 안창살 · 치마살 · 갈비살\n· 이 중 그날 상태 좋은 네 부위를 150g씩\n· 국내산 1등급 · 냉장\n\n부위는 지정하실 수 없습니다. 소 한 마리에서 여섯 부위를 다 합쳐도 15kg이 안 나오기 때문입니다.\n\n59,900원 · 배송비 4,000원\n구매는 프로필 링크에서.\n\n#제철이가득한한상 #특수부위 #소고기모듬 #안창살 #토시살 #제비추리 #소고기구이 #홈파티 #정육",,
2026-10-15,12:00,threads,carousel,kkotge-01.jpg;kkotge-02.jpg;kkotge-03.jpg;kkotge-04.jpg,"봄엔 암게, 가을엔 숫게다.\n알이 아니라 살이 차는 철이라 그렇다.\n\n오늘 새벽 서해에서 올라온 활 숫꽃게 1kg.\n창고에 재워두지 않고 위판장에서 받아 그날 바로 포장한다.\n\n탕에는 작은 게가 더 낫다. 마리 수가 많아 국물이 진해진다.\n무랑 대파만 넣어도 국물이 다르다.\n\n12,700원 · 배송비 4,000원.\n\nhttps://smartstore.naver.com/nice__food/products/13754454292",,
2026-10-15,18:00,instagram,carousel,kkotge-01.jpg;kkotge-02.jpg;kkotge-03.jpg,"봄엔 암게, 가을엔 숫게입니다. 알이 아니라 살이 차오르는 철입니다.\n\n· 국내산 서해 활 숫꽃게 1kg\n· 오늘 새벽 위판장에서 받아 그날 포장\n· 비닐 빙장 포장, 1~2인 분량\n\n탕에는 작은 게가 더 좋습니다. 마리 수가 많아 국물이 진해집니다.\n\n12,700원 · 배송비 4,000원\n구매는 프로필 링크에서.\n\n#제철이가득한한상 #숫꽃게 #활꽃게 #꽃게탕 #제철꽃게 #가을꽃게 #서해 #수산물 #산지직송",,
2026-10-19,12:00,threads,carousel,ribeye-01.jpg;ribeye-02.jpg;ribeye-03.jpg;ribeye-04.jpg;ribeye-05.jpg,"스테이크 시켰는데 뼈 무게가 절반이었던 적 있으면.\n\n뼈는 빼고 살로만 600g 담는다.\n꽃등심과 갈비살이 한 덩이에 붙어 있어서\n한 장으로 두 가지 식감이 난다.\n\n2.5~3cm로 썰어서 온다.\n겉은 바싹, 속은 붉게. 집에서도 레어로 나온다.\n\n39,900원 · 배송비 4,000원.\n\nhttps://smartstore.naver.com/nice__food/products/13769187292",,
2026-10-19,18:00,instagram,carousel,ribeye-01.jpg;ribeye-02.jpg;ribeye-03.jpg,"스테이크 시켰는데 뼈 무게가 절반이었던 적 있으시죠.\n\n· 뼈를 빼고 살코기로만 600g\n· 꽃등심과 갈비살이 한 덩이 — 한 장에 두 가지 식감\n· 2.5~3cm 컷팅 · 냉장 유통\n\n겉은 바싹, 속은 붉게. 집에서도 레어로 드실 수 있습니다.\n\n39,900원 · 배송비 4,000원\n구매는 프로필 링크에서.\n\n#제철이가득한한상 #립아이 #스테이크 #소고기 #국내산소고기 #홈파티 #정육 #스테이크맛집 #집밥",,
2026-10-22,12:00,threads,carousel,gab-01.jpg;gab-02.jpg;gab-03.jpg;gab-04.jpg;gab-05.jpg,"갑오징어 사놓고 볶음만 해먹었으면 아까운 거다.\n\n횟감으로 쓸 수 있는 것만 수매한다.\n새벽에 군산·목포 위판장 돌면서 눈으로 보고 고른다.\n\n내장이 깨끗해서 통찜이 된다.\n손질은 뒷부분 갈라 내장 빼고 껍질 벗기면 끝.\n\n회, 숙회, 통찜 다 된다. 1kg에 2인분.\n17,800원 · 배송비 4,000원.\n\nhttps://smartstore.naver.com/nice__food/products/13753363968",,
2026-10-22,18:00,instagram,carousel,gab-01.jpg;gab-02.jpg;gab-03.jpg,"갑오징어 사놓고 볶음만 해드셨다면 아까운 일입니다.\n\n· 횟감으로 쓸 수 있는 것만 수매\n· 새벽 군산·목포 위판장에서 직접 보고 고릅니다\n· 국내산 생물 1kg · 大 사이즈 · 2인 분량\n\n내장이 깨끗해 통찜이 됩니다. 회, 숙회, 통찜 다 되고 숙회를 특히 권합니다.\n\n17,800원 · 배송비 4,000원\n구매는 프로필 링크에서.\n\n#제철이가득한한상 #갑오징어 #갑오징어회 #숙회 #통찜 #제철수산물 #수산물 #산지직송 #신선식품",,
2026-10-26,12:00,threads,carousel,galchi-01.jpg;galchi-02.jpg;galchi-03.jpg;galchi-04.jpg;galchi-05.jpg,"이름이 꽃갈치인데 생선 아니다. 소고기다.\n\n꽃등심 갈비살 치마살. 세 부위 앞 글자를 땄다.\n150g씩 나눠 담아서 구이용 450g.\n\n여기에 국거리 스지 200g이 더 붙는다.\n된장찌개에 넣으면 감칠맛이 확 올라온다.\n\n한 번 시키면 구이랑 찌개가 같이 나온다.\n35,900원 · 배송비 4,000원.\n\nhttps://smartstore.naver.com/nice__food/products/13769188496",,
2026-10-26,18:00,instagram,carousel,galchi-01.jpg;galchi-02.jpg;galchi-03.jpg,"이름은 꽃갈치인데 생선이 아니라 소고기입니다.\n\n· 꽃등심 · 갈비살 · 치마살 — 세 부위 앞 글자를 땄습니다\n· 구이용 450g (150g씩) + 국거리 스지 200g\n· 국내산 1등급 · 냉장\n\n세 부위를 한 상에서 비교해 드실 수 있고, 스지는 찌개로 따로 쓰시면 됩니다.\n\n35,900원 · 배송비 4,000원\n구매는 프로필 링크에서.\n\n#제철이가득한한상 #소고기세트 #꽃등심 #갈비살 #치마살 #소고기구이 #홈파티 #정육 #집밥",,
2026-10-29,12:00,threads,carousel,hongge-01.jpg;hongge-02.jpg;hongge-03.jpg;hongge-04.jpg;hongge-05.jpg,"홍게는 물이 찰수록 속이 찬다.\n수심 깊고 차가울수록 수율이 올라간다.\n\n동해 가장 위쪽, 강원도 끝에서 올라온 것만 받는다.\n쪄서 식힌 다음 냉장으로 보낸다. 데우기만 하면 된다.\n\n몸통 85%, 다리 90% 이상 속이 찬 것만 담는다.\n4kg은 찌기 전 무게고, 찌면 2.5kg 내외 된다. 미리 적는다.\n\n30,000원 무료배송.\n\nhttps://smartstore.naver.com/nice__food/products/13768146373",,
2026-10-29,18:00,instagram,carousel,hongge-01.jpg;hongge-02.jpg;hongge-03.jpg,"홍게는 물이 찰수록 속이 찹니다. 수심이 깊고 차가울수록 수율이 올라갑니다.\n\n· 동해 가장 위쪽, 강원도 끝에서 올라온 것만\n· 몸통 85% · 다리 90% 이상 속이 찬 것만 선별\n· 자숙 완료 · 냉장 배송 — 데우기만 하면 됩니다\n\n4kg은 찌기 전 기준입니다. 자숙 후에는 2.5kg 내외가 됩니다. 미리 적어둡니다.\n\n30,000원 무료배송\n구매는 프로필 링크에서.\n\n#제철이가득한한상 #박달홍게 #홍게 #홍게다리 #딱지밥 #동해 #제철수산물 #산지직송 #수산물",,
2026-11-02,12:00,threads,carousel,chima-01.jpg;chima-02.jpg;chima-03.jpg;chima-04.jpg;chima-05.jpg,"치마살은 소 400kg에서 2~3kg밖에 안 나온다.\n정육점에서도 자주 보기 어려운 이유다.\n\n결이 굵어서 씹는 맛이 제일 좋다.\n약간의 단맛과 쫄깃한 감칠맛이 같이 온다.\n\n한 가지만 지키면 된다. 결 반대로 썰 것.\n결 따라 썰면 질기게 느껴진다.\n\n구이도 되고 육회도 된다.\n27,900원 · 배송비 4,000원.\n\nhttps://smartstore.naver.com/nice__food/products/13769188036",,
2026-11-02,18:00,instagram,carousel,chima-01.jpg;chima-02.jpg;chima-03.jpg,"치마살은 소 400kg에서 2~3kg밖에 나오지 않습니다. 정육점에서도 자주 보기 어려운 부위입니다.\n\n· 국내산 1등급 치마살 300g\n· 결이 굵어 씹는 맛이 가장 좋습니다\n· 냉장 그대로, 얼리지 않습니다\n\n드실 때 결 반대로 썰어주세요. 이것만 지키면 식감이 달라집니다.\n\n27,900원 · 배송비 4,000원\n구매는 프로필 링크에서.\n\n#제철이가득한한상 #치마살 #특수부위 #소고기 #국내산소고기 #소고기구이 #육회 #정육 #홈파티",,
2026-11-05,12:00,threads,carousel,shrimp500-01.jpg;shrimp500-02.jpg;shrimp500-03.jpg;shrimp500-04.jpg;shrimp500-05.jpg,"1kg은 좀 많다 싶으면 이거다.\n\n활 흰다리새우 500g, 18미 내외. 1~2인 분량.\n수조에서 살아있던 것만 담는다.\n\n활새우니까 회부터 드셔보길 권한다.\n머리 자르고 껍질 벗기고, 세 번째 마디에서 내장 빼면 끝.\n\n소금구이는 강불 3분에 중약불 5분.\n12,000원 · 배송비 4,000원.\n\nhttps://smartstore.naver.com/nice__food/products/13752052762",,
2026-11-05,18:00,instagram,carousel,shrimp500-01.jpg;shrimp500-02.jpg;shrimp500-03.jpg,"1kg은 조금 많다 싶으실 때 이걸 권합니다.\n\n· 활 흰다리새우 500g · 18미 내외 · 1~2인 분량\n· 수조에서 살아있던 것만\n· 실중량 400~450g (운송 중 자연감량 10~15%)\n\n활새우니까 회부터 드셔보세요. 소금구이는 강불 3분 뒤 중약불 5분입니다.\n\n12,000원 · 배송비 4,000원\n구매는 프로필 링크에서.\n\n#제철이가득한한상 #흰다리새우 #활새우 #새우회 #새우소금구이 #남해안 #수산물 #산지직송 #신선식품",,
2026-11-09,12:00,threads,carousel,galbisal-01.jpg;galbisal-02.jpg;galbisal-03.jpg;galbisal-04.jpg;galbisal-05.jpg,"갈비는 자리에 따라 본갈비, 꽃갈비, 참갈비로 나뉜다.\n그중 고기층이 두껍고 마블링이 든 자리가 6·7·8번대다.\n\n거기만 쓴다. 다른 번대는 안 쓴다.\n갈비뼈 근처라 운동량이 없어서 지방이 곱게 든다.\n\n뼈는 빼고 살코기로만 300g. 다 먹을 수 있는 무게다.\n지방이 많으니 센 불에 짧게 굽는 게 핵심.\n\n31,900원 · 배송비 4,000원.\n\nhttps://smartstore.naver.com/nice__food/products/13769187100",,
2026-11-09,18:00,instagram,carousel,galbisal-01.jpg;galbisal-02.jpg;galbisal-03.jpg,"갈비는 자리에 따라 본갈비, 꽃갈비, 참갈비로 나뉩니다. 그중 고기층이 두껍고 마블링이 든 자리가 6·7·8번대입니다.\n\n· 6~8번대 꽃갈비살만 사용\n· 뼈는 빼고 살코기로만 300g\n· 국내산 1등급 · 냉장\n\n지방이 많아 오래 구우면 다 빠집니다. 센 불에 짧게, 겉만 빠르게 익혀주세요.\n\n31,900원 · 배송비 4,000원\n구매는 프로필 링크에서.\n\n#제철이가득한한상 #꽃갈비살 #갈비살 #소고기 #국내산소고기 #소고기구이 #홈파티 #정육 #집밥",,
2026-11-12,12:00,threads,carousel,garibi2-01.jpg;garibi2-02.jpg;garibi2-03.jpg;garibi2-04.jpg,"가리비 한 봉지로 세 가지가 나온다.\n\n씻어서 찜기에 5분이면 찜.\n껍데기째 버터 올려 구우면 버터구이.\n국물 내면 라면도 파스타도 된다.\n\n1kg에 20미 내외. 손질할 것도 없다.\n흐르는 물에 가볍게 헹구면 끝.\n\n제철 한창이다.\n6,100원 · 배송비 4,000원.\n\nhttps://smartstore.naver.com/nice__food/products/13768146049",,
2026-11-12,18:00,instagram,carousel,garibi2-01.jpg;garibi2-02.jpg;garibi2-03.jpg,"가리비 한 봉지로 세 가지가 나옵니다.\n\n· 씻어서 찜기에 5분 — 찜\n· 껍데기째 버터 올려 — 버터구이\n· 국물 내서 — 라면, 파스타, 탕\n\n국내산 생물 1kg · 20미 내외. 손질할 것 없이 흐르는 물에 가볍게 헹구시면 됩니다.\n\n6,100원 · 배송비 4,000원\n구매는 프로필 링크에서.\n\n#제철이가득한한상 #홍가리비 #가리비 #가리비버터구이 #가리비파스타 #제철수산물 #산지직송 #집밥",,
2026-11-16,12:00,threads,carousel,salchi-01.jpg;salchi-02.jpg;salchi-03.jpg;salchi-04.jpg;salchi-05.jpg,"살치살은 소 한 마리에서 5kg 정도밖에 안 나온다.\n윗등심살 앞쪽에 붙은 삼각형 근육이다.\n\n소고기 부위 중에 마블링이 가장 좋다.\n결이 곱고 육즙이 풍부하다.\n\n지방이 많아서 오래 구우면 다 빠진다.\n살짝만 익혀야 녹는 식감이 산다.\n\n느끼하면 와사비 곁들이면 된다.\n31,900원 · 배송비 4,000원.\n\nhttps://smartstore.naver.com/nice__food/products/13769188189",,
2026-11-16,18:00,instagram,carousel,salchi-01.jpg;salchi-02.jpg;salchi-03.jpg,"살치살은 소 한 마리에서 5kg 정도밖에 나오지 않습니다. 윗등심살 앞쪽에 붙은 삼각형 근육입니다.\n\n· 소고기 부위 중 마블링이 가장 좋습니다\n· 국내산 1등급 300g · 냉장\n· 같은 1등급이라도 마블은 다릅니다. 원육을 직접 보고 고릅니다\n\n지방이 많아 살짝만 익히셔야 녹는 식감이 삽니다. 느끼하시면 와사비를 곁들여보세요.\n\n31,900원 · 배송비 4,000원\n구매는 프로필 링크에서.\n\n#제철이가득한한상 #살치살 #눈꽃살치살 #소고기 #국내산소고기 #소고기구이 #홈파티 #정육 #마블링",,
